codigo_ensayo,codigo_metodologia,orden
01,001,1
01,045,2
01,046,3
02,007,1
02,047,2
03,021,1
04,003,1
05,017,1
06,004,1
07,011,1
07,019,2
07,024,3
08,006,1
08,009,2
09,003,1
09,004,2
09,005,3
09,011,4
09,014,5
09,017,6
09,024,7
10,011,1
011,012,1
012,003,1
014,022,1
015,016,1
016,005,1
17,012,1
17,023,2
18,019,1
19,019,1
19,024,2
20,014,1
21,003,1
22,003,1
22,014,2
22,019,3
23,019,1
24,007,1
25,009,1
25,014,2
26,046,1
27,009,1
27,014,2
27,020,3
28,004,1
29,003,1
30,020,1
31,023,1
32,021,1
32,029,2
32,030,3
32,031,4
33,004,1
33,011,2
33,024,3
34,014,1
34,028,2
35,003,1
35,004,2
35,005,3
35,014,4
36,032,1
37,009,1
37,014,2
38,034,1
39,004,1
39,011,2
39,034,3
40,004,1
41,003,1
42,034,1
43,008,1
44,036,1
45,003,1
45,014,2
45,018,3
46,019,1
47,004,1
47,024,2
48,038,1
49,018,1
50,018,1
51,036,1
52,036,1
53,034,1
54,035,1
54,036,2
54,039,3
55,036,1
55,040,2
55,041,3
56,018,1
56,039,2
57,040,1
57,041,2
58,034,1
59,039,1
60,024,1
61,034,1
62,004,1
63,001,1
63,002,2
64,024,1
65,042,1
66,003,1
66,004,2
66,005,3
66,011,4
66,014,5
66,018,6
66,024,7
67,014,1
67,018,2
68,014,1
68,018,2
69,003,1
69,014,2
69,018,3
70,003,1
70,004,2
70,005,3
70,011,4
71,014,1
71,018,2
72,043,1
73,044,1
74,047,1
75,048,1
76,001,1
76,045,2
76,046,3
76,048,4
77,020,1
78,007,1
78,008,2
78,049,3
79,001,1
79,002,2
80,051,1
81,052,1
82,052,1
82,053,2
83,054,1
85,011,1
86,055,1
87,022,1
88,055,1
89,054,1
90,054,1
91,054,1
92,056,1
93,011,1
93,019,2
94,057,1
95,059,1
96,054,1
97,007,1
97,047,2
98,060,1
99,003,1
99,004,2
99,005,3
99,011,4
99,014,5
99,018,6
99,060,7
100,062,1
101,061,1
102,054,1
103,054,1
104,011,1
105,062,1
106,034,1
107,062,1
108,059,1
109,003,1
109,005,2
109,014,3
109,017,4
109,036,5
110,059,1
111,003,1
111,005,2
111,014,3
111,035,4
112,003,1
112,041,2
113,003,1
113,041,2
114,054,1
115,039,1
116,014,1
117,068,1
118,001,1
118,007,2
118,008,3
118,045,4
118,048,5
119,014,1
119,035,2
120,003,1
120,004,2
120,014,3
120,037,4
120,052,5
121,001,1
121,045,2
121,048,3
122,003,1
122,018,2
122,039,3
123,003,1
123,005,2
123,036,3
123,041,4
123,052,5
123,053,6
124,003,1
124,022,2
124,069,3
124,070,4
125,001,1
125,045,2
125,046,3
125,048,4
125,067,5
126,041,1
126,052,2
126,053,3
126,055,4
126,069,5
127,011,1
127,036,2
127,040,3
127,041,4
128,011,1
128,035,2
128,036,3
128,039,4
129,011,1
129,036,2
130,011,1
130,040,2
130,041,3
130,059,4
131,011,1
131,035,2
131,039,3
131,059,4
132,011,1
132,059,2
133,040,1
133,041,2
134,059,1
135,003,1
135,040,2
135,041,3
136,011,1
137,040,1
137,041,2
138,040,1
139,071,1
140,072,1
141,072,1
142,074,1
143,074,1
144,072,1
145,074,1
146,074,1
147,071,1
148,011,1
148,040,2
148,041,3
148,074,4
149,072,1
150,003,1
150,005,2
150,041,3
150,052,4
150,053,5
150,074,6
151,028,1
