CODIGO,DESCRIPCION
001,NORMA UNIT - AGUA POTABLE:   Análisis Microbiológico 857/91. (Referencia ISO 6222) - Recuento en placa de heterotróficos.
002,Norma ISO 9308-1 - WATER QUALITY: Detection and enumeration of Eschericia coli and coliform bacteria - PART 1 - Membrane Filtration Method.
003,"AOAC OFFICIAL METHOD 998.08, Coliform and Escherichia coli, Counts in Foods. (Petrifilm E.coli Count Plate and Petrifilm Coliform Count Plate Methods)."
004,"UNE-EN ISO 6579-1:2017/Amd 1:2021. Microbiología de la cadena alimentaria. Método horizontal para la detección, enumeración y serotipado de Salmonella. Parte 1: incluido el Amendment A1:2021 Detección de Salmonella spp."
005,AOAC método oficial 2003.07. Petrifilm Staph Express para el recuento de Staphylococcus aureus.
006,Análisis Microbiológico 857/91 - Recuento en placa de heterotróficos.
007,Detección y enumeración de esporas de sulfito reductores anaerobias (clostridios) . Parte 2: Método Filtración por membrana : UNE-EN 26461-2
008,"Detección y enumeración de Enterococos y Estreptococos Fecales. Basado en APHA/Standard Methods for the Examination of Water and Wasterwater 23nd Edition. Método Nº 9230C “Fecal Enterococcus/Streptococcus groups, Membrane Filter Techniques”"
009,NORMA UNIT-ISO: 4832- Recuento de colonias Coliformes a 30ºC.
010,"NORMA UNIT-ISO: 483- Método del NMP. Incubación a 44,5º C."
011,Método interno ITLAB 106 Versión 0.Determinación de Listeria monocytogenes según Listeria Chromogenic Agar (Ottaviani & Agosti)( OBOP-LMO). AFNOR N° NEO 35/06-07/16
012,NORMA UNIT 489-76. Determinación del contenido de Nitritos en muestra cárnica. Ensayo tercerizado
014,"AOAC OFFICIAL METHOD 966.23, Aerobic Plate Count."
016,Detección y enumeración de Pseudomonas aeruginosa.: Método Filtración por membrana :UNIT 943:94
017,"NMP: Coliformes Totales y Fecales, Bacteriological Analytical Manual, Sep. 2002, FDA."
018,ISO 21528-2:2004. Microbology of foods and animal feeding stuffs- Horizontal methods for the detection and enumeration of Enterobacteriaceae. Part 2: Colony-count method
019,"Reveal microbial screening test, Salmonella Test System."
020,"Placa para Monitoreo de Listeria en Ambientes, 3M  Petrifilm."
021,"UNIT 478:1977,  Determinación del contenido de grasa total. Ensayo tercerizado"
022,"AOAC OFFICIAL METHOD 997.02, PetrifilmTM  para recuento de Mohos y Levaduras."
023,NORMA UNIT 490-76 . Determinación del contenido de Nitratos en muestra cárnica. Ensayo tercerizado.
024,"Reveal microbial screening test, E. Coli O157:H7 Test System."
028,"DPD Method, Determinación de cloro libre."
029,"UNIT 543:1977, Determinación de Cenizas. Ensayo tercerizado."
030,"UNIT 544:1978, Determinación de Humedad.Ensayo  tercerizado"
031,"UNIT 477:1978, Determinación de Proteina.Ensayo tercerizado"
032,"COVENIN 844-1978, Determinación de Metales Pesados en muestras cárnicas.Ensayo tercerizado"
033,"Detección de esporas de sulfito reductores anaerobias (clostridios) , incubación en medio Agar Sulfito Hierro"
034,"Método interno ITLAB 075 Versión 14. BAX® - PCR Real Time. Según MLG 5.09 del 01/15/15 y MLG 5A.04 del 06/29/14, USDA."
035,ISO 21528-2:2004. Microbology of foods and animal feeding stuffs- Horizontal methods for the detection and enumeration of Enterobacteriaceae. Part 2: Colony-count method
036,Método interno ITLAB 083 Versión 8. BAX® - PCR Basado en AOAC 2003.09
037,Método para la detección de Shigella - UNIT 396 - 75.
038,"Detección de E.Coli O157:H7, método por PCR - FSIS-USDA MGL 5A.04"
039,ISO 4833-1:2013 Microbiology of food and animal feeding stuffs - Horizontal method for the enumeration of microorganisms - Colony count technique at 30ºC
040,Método interno ITLAB 091 Versión 6. 3M Petrifilm Enterobacteriaceae Count Plate.
041,3M Petrifilm Aerobic Count Plate AOAC 990.12.
042,PALCAM Agar Base - BBL Crystal GP ID.
043,Método interno ITLAB 094 Versión 9. BAX® - PCR Listeria Monocytogenes 24E.
044,Detección e identificaciòn de Listeria monocytogenes basado en el método MLG 8.07
045,(1) Método interno ITLAB 055 Versión 12. Basado en APHA/Standard Methods for the Examination of Water and Wasterwater 24nd Edition. 9222B.
046,(2) Método interno ITLAB 055 Versión 12. Basado en APHA/Standard Methods for the Examination of Water and Wasterwater 23nd Edition 9222D
047,"Basado en Standard Methods for the Examination of Water and Wasterwater. Edición 21. N° método 9230C. ""Fecal Streptococcus and Enterococcus groups,  Membrane Filter Techniques"""
048,(3) Método interno ITLAB 055 Versión 12. Basado en APHA/Standard Methods for the Examination of Water and Wasterwater 24nd Edition 9222H.
049,Confirmación de Clostridium Perfringens basado en la Norma UNIT 757-85 (ISO 7937)
050,ISO 9308-1. Water quality - Detection and enumeration of Escherichia coli and coliform bacteria - Part 1: Membrane filtration method
051,ISO 11290-1. Método horizontal para la detección y el recuento de Listeria monocytogenes y Listeria spp. Parte 1: Método de detección.
052,"3M Petrifilm TM Recuento de Coliformes Termotolerantes, validado AFNOR, Nº 3M-01/2-09/89C"
053,"3M Petrifilm TM Recuento de Coliformes Totales, validado AFNOR, Nº 3M-01/2-09/89A y B"
054,"Método interno ITLAB 099 Versión 7. BAX® - PCR Real Time. Según MLG 5B.05 del 06/29/14, USDA."
055,UNIT 593-80
056,UNE-EN 1040
057,UNIT 757-85
058,"Siembra en placa, BD m-Enterococcus (274620). Confirmación basado en APHA Edición 21. N° método 9230C."
059,Método interno ITLAB 102 Versión 2. 3M Molecular Detection Asay (SDM). Validado AFNOR 3M 01/16-11/16
060,Norma ISO 15214. Horizontal method for the enumeration of mesophilic lactic acid bacteria
061,UNE-EN ISO 16654. Método horizontal para la detección de Escherichia coli O157
062,Método interno ITLAB 103 Versión 6. 3M Molecular Detection Assay (SDM).
063,Basado en AOAC 2011.14/EPA 6010D. Ensayo tercerizado
064,Método interno ITLAB 101 Versión 1. Método CRHOMAgar Listeria. AFNOR Nº CHR-21/01-12/01
065,"Detección de Listeria monocytogenes por método CHROMagar Listeria, Certificado AFNOR: CHR-21/01-12/01."
